iter	Passed	Remaining
0	25	5106
1	45	4548
2	63	4138
3	81	4014
4	97	3815
5	118	3838
6	132	3644
7	143	3452
8	156	3325
9	167	3190
10	183	3157
11	194	3048
12	209	3008
13	221	2938
14	236	2916
15	247	2844
16	259	2793
17	270	2735
18	284	2712
19	295	2663
20	311	2652
21	322	2610
22	336	2591
23	350	2569
24	366	2563
25	383	2568
26	394	2529
27	410	2521
28	423	2497
29	435	2469
30	452	2465
31	467	2451
32	487	2468
33	513	2505
34	535	2522
35	551	2512
36	566	2494
37	586	2498
38	606	2504
39	621	2485
40	634	2459
41	646	2431
42	657	2400
43	668	2371
44	682	2350
45	700	2345
46	716	2333
47	735	2327
48	755	2326
49	775	2326
50	789	2305
51	809	2304
52	825	2290
53	841	2274
54	855	2254
55	868	2232
56	880	2207
57	892	2185
58	907	2167
59	920	2147
60	932	2125
61	951	2118
62	986	2144
63	1011	2150
64	1048	2178
65	1080	2192
66	1103	2190
67	1117	2169
68	1131	2148
69	1153	2141
70	1169	2125
71	1181	2099
72	1199	2086
73	1220	2078
74	1237	2061
75	1253	2044
76	1271	2031
77	1288	2015
78	1307	2002
79	1326	1989
80	1342	1972
81	1355	1950
82	1370	1932
83	1381	1908
84	1396	1889
85	1408	1866
86	1423	1848
87	1439	1832
88	1454	1814
89	1476	1805
90	1499	1795
91	1516	1779
92	1536	1768
93	1559	1759
94	1577	1743
95	1595	1728
96	1606	1705
97	1621	1687
98	1632	1665
99	1644	1644
100	1655	1623
101	1671	1605
102	1683	1585
103	1696	1566
104	1708	1545
105	1723	1527
106	1736	1509
107	1747	1488
108	1763	1471
109	1782	1458
110	1799	1443
111	1819	1429
112	1832	1411
113	1848	1394
114	1866	1379
115	1882	1363
116	1899	1347
117	1915	1331
118	1927	1311
119	1939	1293
120	1952	1274
121	1967	1258
122	1987	1244
123	1999	1225
124	2014	1208
125	2025	1189
126	2038	1171
127	2048	1152
128	2062	1135
129	2073	1116
130	2096	1104
131	2114	1089
132	2131	1073
133	2144	1056
134	2164	1042
135	2180	1026
136	2197	1010
137	2217	996
138	2233	980
139	2244	961
140	2258	945
141	2270	927
142	2285	910
143	2296	893
144	2312	876
145	2322	859
146	2335	842
147	2346	824
148	2366	809
149	2378	792
150	2389	775
151	2402	758
152	2417	742
153	2430	725
154	2442	709
155	2455	692
156	2471	676
157	2488	661
158	2513	648
159	2529	632
160	2543	616
161	2563	601
162	2580	585
163	2594	569
164	2617	555
165	2633	539
166	2644	522
167	2658	506
168	2670	489
169	2681	473
170	2692	456
171	2711	441
172	2724	425
173	2735	408
174	2751	393
175	2762	376
176	2775	360
177	2785	344
178	2803	328
179	2814	312
180	2830	297
181	2841	281
182	2855	265
183	2866	249
184	2878	233
185	2888	217
186	2907	202
187	2920	186
188	2932	170
189	2944	154
190	2959	139
191	2972	123
192	2984	108
193	3001	92
194	3013	77
195	3024	61
196	3035	46
197	3048	30
198	3060	15
199	3075	0
